sample,Time (s),CMD_POS_FLOATMAG_BH,ENC_POS_FLOATMAG_BH,POS_ERR_FLOATMAG_BH,DAC_FLOATMAG_BH,MODE_FLOATMAG_BH,ENC_POS_FLOATMAG_FBX,ENC_POS_FLOATMAG_FBY,ENC_POS_FLOATMAG_FB_COUNT,ENC_POS_FLOATMAG_FB_SCORE,EndPoint_X(um),ENC_X(um),dENC_X(um),ddENC_X(um)
1095,0.136875,0,-61,61,-230,ff010001,6045696,5160960,15387,1,-2.342870222,-0.305,0.015000000000000013,0.020000000000000018
1096,0.137,0,-59,59,-245,ff010001,6045696,5160960,15387,1,-2.342870222,-0.295,0.010000000000000009,-0.0050000000000000044
1097,0.137125,0,-56,56,-247,ff010001,6119424,5378048,15388,1,-1.639734493,-0.28,0.014999999999999958,0.004999999999999949
1098,0.13725,0,-55,55,-242,ff010001,6119424,5378048,15388,1,-1.639734493,-0.275,0.0050000000000000044,-0.009999999999999953
1099,0.137375,0,-50,50,-251,ff010001,6119424,5378048,15388,1,-1.639734493,-0.25,0.025000000000000022,0.020000000000000018
1100,0.1375,0,-42,42,-287,ff010001,6250496,5275648,15389,1,-0.389715419,-0.21,0.04000000000000001,0.014999999999999986
1101,0.137625,0,-40,40,-278,ff010001,6250496,5275648,15389,1,-0.389715419,-0.2,0.009999999999999981,-0.030000000000000027
1102,0.13775,0,-37,37,-254,ff010001,6250496,5275648,15389,1,-0.389715419,-0.185,0.015000000000000013,0.005000000000000032
1103,0.137875,0,-34,34,-257,ff010001,6361088,5332992,15390,1,0.664988174,-0.17,0.014999999999999986,-2.7755575615628914e-17
1104,0.138,0,-30,30,-265,ff010001,6361088,5332992,15390,1,0.664988174,-0.15,0.020000000000000018,0.005000000000000032
1105,0.138125,0,-25,25,-278,ff010001,6483968,5341184,15391,1,1.836881056,-0.125,0.024999999999999994,0.004999999999999977
1106,0.13825,0,-22,22,-278,ff010001,6483968,5341184,15391,1,1.836881056,-0.11,0.015,-0.009999999999999995
1107,0.138375,0,-20,20,-265,ff010001,6483968,5341184,15391,1,1.836881056,-0.1,0.009999999999999995,-0.0050000000000000044
1108,0.1385,0,-15,15,-275,ff010001,6557696,5451776,15392,1,2.540016785,-0.075,0.02500000000000001,0.015000000000000013
1109,0.138625,0,-12,12,-284,ff010001,6557696,5451776,15392,1,2.540016785,-0.06,0.015,-0.010000000000000009
1110,0.13875,0,-7,7,-288,ff010001,6557696,5451776,15392,1,2.540016785,-0.035,0.024999999999999994,0.009999999999999995
1111,0.138875,0,-1,1,-305,ff010001,6639616,5480448,15393,1,3.321278706,-0.005,0.030000000000000002,0.005000000000000008
1112,0.139,0,0,0,-290,ff010001,6639616,5480448,15393,1,3.321278706,0.0,0.005,-0.025
1113,0.139125,0,3,-3,-276,ff010001,6639616,5480448,15393,1,3.321278706,0.015,0.015,0.009999999999999998
1114,0.13925,0,8,-8,-296,ff010001,6696960,5525504,15394,1,3.868162051,0.04,0.025,0.010000000000000002
1115,0.139375,0,10,-10,-297,ff010001,6696960,5525504,15394,1,3.868162051,0.05,0.010000000000000002,-0.015
1116,0.1395,0,10,-10,-275,ff010001,6758400,5521408,15395,1,4.454108492,0.05,0.0,-0.010000000000000002
1117,0.139625,0,11,-11,-269,ff010001,6758400,5521408,15395,1,4.454108492,0.055,0.0049999999999999975,0.0049999999999999975
1118,0.13975,0,10,-10,-266,ff010001,6758400,5521408,15395,1,4.454108492,0.05,-0.0049999999999999975,-0.009999999999999995
1119,0.139875,0,11,-11,-267,ff010001,6791168,5550080,15396,1,4.76661326,0.055,0.0049999999999999975,0.009999999999999995
1120,0.14,0,10,-10,-268,ff010001,6791168,5550080,15396,1,4.76661326,0.05,-0.0049999999999999975,-0.009999999999999995
1121,0.140125,0,12,-12,-273,ff010001,6791168,5550080,15396,1,4.76661326,0.06,0.009999999999999995,0.014999999999999993
1122,0.14025,0,13,-13,-284,ff010001,6799360,5607424,15397,1,4.844739452,0.065,0.0050000000000000044,-0.0049999999999999906
1123,0.140375,0,14,-14,-280,ff010001,6799360,5607424,15397,1,4.844739452,0.07,0.0050000000000000044,0.0
1124,0.1405,0,13,-13,-270,ff010001,6799360,5607424,15397,1,4.844739452,0.065,-0.0050000000000000044,-0.010000000000000009
1125,0.140625,0,14,-14,-269,ff010001,6819840,5595136,15398,1,5.040054932,0.07,0.0050000000000000044,0.010000000000000009
1126,0.14075,0,16,-16,-283,ff010001,6819840,5595136,15398,1,5.040054932,0.08,0.009999999999999995,0.0049999999999999906
1127,0.140875,0,16,-16,-280,ff010001,6787072,5677056,15399,1,4.727550164,0.08,0.0,-0.009999999999999995
